"产品/服务名称","价格（人民币）","计价单位","付费模式","目标人群","是否AI驱动","来源链接","备注","来源等级"
"咕噜口语（SpeakGuru）连续包月","138","元/月","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）月会员","168","元/月","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）VIP季会员","288","元/季","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）一年会员","328","元/年","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）VIP年会员","368","元/年","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）3年会员","598","元/3年","多年卡","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"咕噜口语（SpeakGuru）永久会员","698-798","元","终身卡","AI口语陪练用户","是","https://apps.apple.com/cn/app/咕噜口语-ai练口语天花板-speakguru/id6462875096","P0 App Store应用内购买","P0"
"可栗口语 1元体验VIP","1","元","体验价","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"可栗口语 包月VIP","98","元/月","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"可栗口语 包季VIP","268","元/季","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"可栗口语 包年VIP","298","元/年","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"可栗口语 会员年卡","328-358","元/年","订阅制","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"可栗口语 超值三年卡","498-598","元/3年","多年卡","AI口语陪练用户","是","https://apps.apple.com/cn/app/可栗口语-ai外教情景对话-零基础练发音学语法/id6449095944","P0 App Store应用内购买","P0"
"Hi Echo（网易有道）连续包月","68","元/月","订阅制","AI虚拟人口语私教","是","https://xueqiu.com/7423950559/263209154","P2雪球/多知网报道","P2"
"Hi Echo（网易有道）年度会员","698","元/年","订阅制","AI虚拟人口语私教","是","https://xueqiu.com/7423950559/263209154","P2雪球/多知网报道","P2"
"Hi Echo（网易有道）连续包年","498","元/年","订阅制","AI虚拟人口语私教","是","https://xueqiu.com/7423950559/263209154","P2雪球/多知网报道","P2"
"流利说·英语 职场精英课套餐","599","元","课程包","职场英语学习者","部分（AI测评核心）","http://hybrid.liulishuo.com/campaign/workplace-elite.html","官网历史价格；约2022年退市后无最新定价","P2"
"Duolingo Super 年费","588","元/年","订阅制","泛语言学习用户","是（AI高级功能）","https://apps.apple.com/cn/app/多邻国duolingo英语日语法语/id570060128","P0 App Store应用内购买","P0"
"Duolingo Super 高档位","738","元/年","订阅制","泛语言学习用户","是（AI高级功能）","https://apps.apple.com/cn/app/多邻国duolingo英语日语法语/id570060128","P0 App Store应用内购买","P0"
"Duolingo Max 年费","约1200","元/年","订阅制","AI高级功能用户","是（AI角色扮演+视频通话）","https://investors.duolingo.com/static-files/aab30d54-eb91-422e-b365-c03859fea85c","官方财报；Max年费为Super两倍","P0"
"Duolingo 免费试用","0","天","试用天数","泛语言学习用户","否","https://apps.apple.com/cn/app/多邻国duolingo英语日语法语/id570060128","14天免费试用","P0"
"Speak（海外）","约103","元/月","订阅制","海外AI口语陪练用户","是","https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/","$14.99/月 换算人民币","P1"
"Speak（海外）年费","约688","元/年","订阅制","海外AI口语陪练用户","是","https://techcrunch.com/2024/12/10/openai-backed-speak-raises-78m-at-1b-valuation-to-help-users-learn-languages-by-talking-out-loud/","$99.99/年 换算人民币","P1"
"ELSA Speak Pro（中国区）","78","元/月","订阅制","发音纠音专项用户","是","http://m.toutiao.com/group/7621101837860618786/","发音纠音AI工具；Pro订阅价格","P2"
"星火语伴（科大讯飞）","约30","元/月","订阅制","英语学习者（口语评测+语法纠正）","是","https://www.yrdown.com/post/4970.html","推断基于同赛道对比","P3"
"51Talk 菲教","60-70","元/25分钟","按课时","3-15岁青少儿","否（真人外教）","http://m.toutiao.com/group/7561705706211066414/","菲教；月套餐1200元/月","P3"
"51Talk 欧美外教","130+","元/25分钟","按课时","追求欧美口音的青少儿","否（真人外教）","http://m.toutiao.com/group/7561705706211066414/","欧美外教价格明显高于菲教","P3"
"VIPKID 北美外教1v1","150-200","元/25分钟","按课时","3-18岁青少儿","否（真人外教）","http://m.toutiao.com/group/7659708521155428879/","北美外教高端价格锚点","P3"
"阿卡索 菲教1v1（促销）","16-25","元/课时","课包","全年龄","否（真人外教）","http://m.toutiao.com/group/7628199566373896767/","促销价格","P3"
"阿卡索 欧美外教1v1","40-60","元/课时","课包","全年龄","否（真人外教）","http://m.toutiao.com/group/7628199566373896767/","价格亲民主打性价比","P3"
"阿卡索 月卡6个月","3888","元/6个月","课包","全年龄","否（真人外教）","http://m.toutiao.com/group/7628199566373896767/","包年6588元","P3"
